名称,主たる事業,区分,設備おむつ交換,設備授乳,設備その他,設備内容,箇所数,設置場所,特徴,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（赤ちゃんの駅）
川越市立美術館,美術館,公共施設,○,○,×,,5,"【おむつ交換】地下1階・1階・2階多目的トイレ、創作棟多目的トイレ
【授乳】貸室等(搾乳できます)",トイレ内におむつ交換台、授乳は空いている部屋等。,350-0053,川越市,川越市郭町2-30-1,049-228-8080,049-228-7870,,9:00～17:00,月曜日(祝日の場合は翌日)、年末年始、特別整理期間,http://www.city.kawagoe.saitama.jp/,「交流」をテーマに、川越ゆかりの作家を中心に日本近代美術を収集、展示しています。
学校法人久喜幼稚園　そらにとどくき認定こども園　ののの,認定こども園(幼保連携型),その他,○,○,○,ベビーベッド、調乳設備があります。,1,【おむつ交換+授乳】子育て支援センターヤマボウシ,園内の子育て支援センターなので、おもちゃがあり、0、1、2歳の子が遊ぶことも可能です。,346-0005,久喜市,久喜市本町1-2-60,0480-25-5750,0480-21-2473,info@kuki-kindergarten.ed.jp,9:30～14:30,日曜・祝日・お盆・年末年始,http://kuki-kindergarten.ed.jp/,
LIXIL　ショールームさいたま,,住宅,○,○,○,キッズスコーナー、ベビーキープ,5,"【おむつ替え】1F多目的トイレ、2F女子トイレ
【授乳】2F授乳室
【キッズスコーナー】1F、2F",ショールーム内でご利用頂けるベビーカーもございます。,331-0811,さいたま市北区,さいたま市北区吉野町1‐23-6,048-668-1794,048-667-1792,,10:00～17:00,毎週水曜日(祝日の場合は営業),http://www.lixil.co.jp/showroom/kanto/lixil_saitama/,"キッズコーナーは1・2Fそれぞれにあり、授乳室も完備しております。広々した店内なのでお子様連れでも安心してご利用頂けます。
【アクセス】
ニューシャトル今羽駅徒歩3分"
LIXIL　川越ショールーム,,住宅,○,○,○,キッズスコーナー,3,"【おむつ替え】1F多目的トイレ
【授乳】1F授乳室
【キッズスコーナー】1F",ショールーム内でご利用頂けるベビーカーもございます。,350-1124,川越市,川越市新宿町1-20-14,049-238-7560,049-238-7562,,10:00～17:00,毎週水曜日、夏季・冬季休館,http://www.lixil.co.jp/showroom/kanto/kawagoe/,"キッチン、洗面、バスが体感できるショールームです。お子様連れでも安心して見学頂けます。
【アクセス】
JR川越駅・東武線川越駅西口徒歩7分"
LIXIL　熊谷ショールーム,,住宅,○,×,○,キッズスコーナー,2,"【おむつ替え】1F多目的トイレ
【キッズスコーナー】1F",ショールーム内でご利用頂けるベビーカーもございます。,360-0015,熊谷市,熊谷市肥塚4-115,048-528-0526,048-528-0528,,10:00～17:00,毎週水曜日、夏季・冬季休館,http://www.lixil.co.jp/showroom/kanto/kumagaya/,"キッチン、浴室、洗面化粧台、トイレはもちろん建材、玄関の展示もございます。館内を1周すると全ての展示品が見学頂けます。ステキなお家になりますように、お手伝いさせていただきます。
気になること、何でもお気軽にご相談下さい。
是非、ショールームにお越しください。心よりお待ちしております。
【アクセス】
JR熊谷駅 北口 6番乗り場より、朝日バスで約10分
(太田駅・西小泉駅・妻沼・妻沼聖天前行「遠新田」下車、徒歩で約1分)"
タカラスタンダード　さいたまショールーム,,住宅,○,×,×,,1,【おむつ替え】トイレ,,331-0052,さいたま市西区,さいたま市西区三橋5-636,048-621-2155,048-625-7566,saitama-sr@takara-standard.co.jp,10:00～17:00,年中無休,http://www.takara-standard.co.jp/,"キッチン、洗面、バスなど最新の住宅関連機器を体感いただけるショールームです。お子様連れでも安心して見学頂けます。
当社の商品説明をさせて頂いたお客様には、漏れなく素敵なご来場記念品を差し上げます。
【アクセス】
<電車・バス>JR大宮駅西口　西部バス4番バス乗り場より、西遊馬又は川越グリーンパーク行。「三橋5丁目」停留所下車　徒歩2分。
<お車>新大宮バイパス(17号線)を浦和方面から熊谷方面へ進み、三橋5丁目交差点を過ぎてすぐ左手(新大宮バイパス沿い)
※駐車場は案内看板に沿ってお入り下さい。"
タカラスタンダード　川口ショールーム,,住宅,○,×,×,,1,【おむつ替え】女子トイレ,,332-0015,川口市,川口市川口2-14-31,048-259-6591,048-259-6592,kawaguchi-sr@takara-standard.co.jp,10:00～17:00,年中無休,http://www.takara-standard.co.jp/,"キッチン、洗面、バスなど最新の住宅関連機器を体感いただけるショールームです。お子様連れでも安心して見学頂けます。
当社の商品説明をさせて頂いたお客様には、漏れなく素敵なご来場記念品を差し上げます。
【アクセス】
<電車>JR京浜東北線 川口駅 西口より 徒歩8分
<お車>国道122号 本町ロータリー交差点より県道89号線・川口駅方面 約100m先を左折、JRガードを超えて直進300m 
※駐車場は建物前にある駐車スペース、または隣のコインパーキングをご利用ください(コインパーキングご利用の方にはサービスチケットをお渡ししております)"
タカラスタンダード　川越ショールーム,,住宅,○,×,×,,1,【おむつ替え】トイレ,,350-1124,川越市,川越市新宿町1-7-4,049-246-6902,049-241-3260,kawagoe-sr@takara-standard.co.jp,10:00～17:00,年中無休,http://www.takara-standard.co.jp/,"キッチン、洗面、バスなど最新の住宅関連機器を体感いただけるショールームです。お子様連れでも安心して見学頂けます。
当社の商品説明をさせて頂いたお客様には、漏れなく素敵なご来場記念品を差し上げます。
【アクセス】
<電車>東武東上線・JR埼京線 川越駅 西口より 徒歩7分、西武新宿線 本川越駅 東口より 徒歩15分
<お車>国道16号線の新宿3丁目交差点すぐそば、新宿町3丁目交差点を川越駅方面に曲がり(入間方面からは左折、大宮方面からは右折) 右手"
タカラスタンダード　熊谷ショールーム,,住宅,○,×,×,,1,【おむつ替え】トイレ,,360-0004,熊谷市,熊谷市上川上字新田1061,048-525-8315,048-525-9273,kumagaya-sr@takara-standard.co.jp,10:00～17:00,年中無休,http://www.takara-standard.co.jp/,"キッチン、洗面、バスなど最新の住宅関連機器を体感いただけるショールームです。お子様連れでも安心して見学頂けます。
当社の商品説明をさせて頂いたお客様には、漏れなく素敵なご来場記念品を差し上げます。
【アクセス】
<電車・バス>熊谷駅北口出口より 国際バス葛和田行き「上川上入口」下車 徒歩15分
<お車>17号バイパスを東京方面から高崎方面へ、「紳士服の青山」を過ぎて3つ目の信号を右折(バイパス沿い)　
※カーナビの電話番号検索は【0485258311】を入力下さい。　
※車30台分、駐車場完備しております。"
タカラスタンダード　春日部ショールーム,,住宅,○,×,×,,1,【おむつ替え】女子トイレ,,344-0014,春日部市,春日部市豊野町3-1-2,048-737-7319,048-737-5145,kasukabe-sr@takara-standard.co.jp,10:00～17:00,年中無休,http://www.takara-standard.co.jp/,"キッチン、洗面、バスなど最新の住宅関連機器を体感いただけるショールームです。お子様連れでも安心して見学頂けます。
当社の商品説明をさせて頂いたお客様には、漏れなく素敵なご来場記念品を差し上げます。
【アクセス】
<電車>東武伊勢崎線 せんげん台駅東口よりタクシーで約10分
<お車>・国道16号線から、庄和インターより東京方面へ約3.5km
・草加越谷方面から、旧4号と4号バイパスが交差する下間久里交差点から約3.5Km、4号バイパス沿いの白い5階建て(屋上のタカラの看板が目印)　
※駐車場は案内看板に沿ってお入りください。"
タカラスタンダード　大利根ショールーム,,住宅,○,×,×,,1,【おむつ替え】トイレ,,349-1148,加須市,加須市豊野台2-673-1,0480-72-6431,0480-72-6423,ootone-sr@takara-standard.co.jp,10:00～17:00,年中無休,http://www.takara-standard.co.jp/,"キッチン、洗面、バスなど最新の住宅関連機器を体感いただけるショールームです。お子様連れでも安心して見学頂けます。
当社の商品説明をさせて頂いたお客様には、漏れなく素敵なご来場記念品を差し上げます。
【アクセス】
<電車>JR宇都宮線・東武日光線　栗橋駅 西口よりタクシーで約5分、東武伊勢崎線 鷲宮駅より タクシーで5分<バス>JR宇都宮線 東鷲宮駅 西口より朝日自動車路線バス乗車約20分、豊野台テクノタウン入口下車徒歩0分
<お車>東北自動車道 加須 IC より栗橋方面へ 約5分、新井新田交差点を左折して500m、埼玉工場・関東商品センター内 1階"
タカラスタンダード　越谷レイクタウンショールーム,,住宅,○,×,×,,1,【おむつ替え】女子トイレ,,343-0828,越谷市,越谷市レイクタウン7-4-4,048-990-4851,048-989-0212,koshigayalaketown-sr@takara-standard.co.jp,10:00～17:00,年中無休,http://www.takara-standard.co.jp/,"キッチン、洗面、バスなど最新の住宅関連機器を体感いただけるショールームです。お子様連れでも安心して見学頂けます。
当社の商品説明をさせて頂いたお客様には、漏れなく素敵なご来場記念品を差し上げます。
【アクセス】
<電車>JR武蔵野線 越谷レイクタウン駅より徒歩5分
<お車>外環道草加IC、外環道三郷西ICよりいずれも約15分、東埼玉道路を越谷レイクタウン方面に向かい、6丁目付近交差点を左折、約300m先越谷レイクタウン駅方面へ右折し、1つ目の信号をを左折、県立越谷南高校前の通り左側。"
南部第三公園,公園,公園,○,×,×,,1,【おむつ交換】多機能トイレ内,,343-0832,越谷市,越谷市南町1-5,048-963-9225,048-965-0948,,24時間,,https://www.city.koshigaya.saitama.jp/index.html,
越谷市消防署谷中分署,市町村庁舎,公共施設,○,×,×,,1,【おむつ交換】1階多目的トイレ,多目的トイレ内におむつ交換台,343-0856,越谷市,越谷市谷中町四丁目92番地1,048-964-9119,048-964-9130,,,,https://www.city.koshigaya.saitama.jp/index.html,
氷川町整骨院,整骨院,その他,○,○,×,,2,【おむつ交換+授乳】院内奥に2か所あります。,院内奥に2か所授乳スペースがあります。ベビーベッドのご用意もあります。,340-0034,草加市,草加市氷川町2134-10　プラザ氷川1階,048-929-3929,048-929-3929,hikawa@cpm-j.com,平日9:00～13:00 16:00～20:00　土曜日9:00～17:00,日曜、祝日,http://hikawacyou.main.jp,産前の施術、産後の骨盤矯正の施術も行っております。ベビーカーのまま院内に乗り入れ、隣で一緒に施術を行うことも可能です。抱っこ紐で来院されてもベビーベットのご用意もありますのでご安心してください。スタッフや受付さんは小さいお子様が大好きなので大歓迎です。
さいたま市立岩槻図書館,図書館,公共施設,○,○,○,"ベビーシート
ベビーチェア",4,"【おむつ交換】みんなのトイレ
【授乳】1F作業室","【ベビーチェア】みんなのトイレ、女性トイレ×2
",339-0057,さいたま市岩槻区,さいたま市岩槻区本町4-2-25,048-757-2523,048-758-5100,iwatsuki-lib@city.saitama.lg.jp,月・水～金曜日9:00～18:00、土・日・祝日9:00～17:00,火曜日(祝日の場合は開館し、翌水曜日に休館)、12月29日～1月4日、特別整理期間,https://www.lib.city.saitama.jp/contents?2&pid=54,地域の特色である人形に関する資料を収集した図書館です。
さいたま市立浦和南公民館,公民館,公共施設,○,×,×,,1,【おむつ交換】1階多目的トイレ,1階多目的トイレ内におむつ交換台が1台あります。,330-0065,さいたま市浦和区,さいたま市浦和区神明1-28-13,048-822-1088,048-822-1088,urawaminami-pub@city.saitama.lg.jp,9:00～21:30但し夜間利用がない場合は17:15で閉館,年末年始(12月29日～1月3日)他休館日あり。,http://www.city.saitama.jp/urawa/001/001/005/003/p034108.html,当公民館では、親子で一緒に体験し学ぶ講座を行ってます。
さいたま市立仲町公民館,公民館,公共施設,○,×,×,,1,【おむつ交換】1階多目的トイレ,1階多目的トイレ内におむつ交換台が1台あります。,330-0061,さいたま市浦和区,さいたま市浦和区常盤4-1-12,048-822-8425,048-822-8425,nakacho-pub@city.saitama.lg.jp,9:00～21:30但し夜間利用がない場合は17:15で閉館,年末年始(12月29日～1月3日)他休館日あり。,http://www.city.saitama.jp/urawa/001/001/005/009/p034136.html,常盤公園近くの静かな公民館です。
さいたま市立北浦和公民館,公民館,公共施設,○,×,×,,1,【おむつ交換】1階多目的トイレ,1階多目的トイレ内におむつ交換台が1台あります。,330-0074,さいたま市浦和区,さいたま市浦和区北浦和2-19-25,048-832-3139,048-832-3139,kitaurawa-pub@city.saitama.lg.jp,9:00～21:30但し夜間利用がない場合は17:15で閉館,年末年始(12月29日～1月3日)他休館日あり。,http://www.city.saitama.jp/urawa/001/001/005/011/p034038-1.html,親子の居場所づくりの講座も行っています。
さいたま市立大成公民館,公民館,公共施設,○,×,×,,1,【おむつ交換】1階多目的トイレ,1階多目的トイレ内におむつ交換台が1台あります。ベビーカーで入れます。,330-0852,さいたま市大宮区,さいたま市大宮区大成町2-335-1,048-663-4927,048-651-4082,onari-pub@city.saitama.lg.jp,9:00～21:30,年末年始(12月29日～1月3日)他休館日あり。,http://www.city.saitama.jp/omiya/001/001/005/006/p034005.html,当公民館では、親子で一緒に体験し学ぶ講座を行ってます。
さいたま市立大宮東公民館,公民館,公共施設,○,×,×,,1,【おむつ交換】1階多目的トイレ,1階多目的トイレ内におむつ交換台が1台あります。ベビーカーで入れます。,330-0804,さいたま市大宮区,さいたま市大宮区堀の内町3-140,048-643-4391,048-641-3927,omiya-higashi-pub@city.saitama.lg.jp,9:00～21:30,年末年始(12月29日～1月3日)他休館日あり。,http://www.city.saitama.jp/omiya/001/001/005/007/index.html,当公民館では、親子で一緒に体験し学ぶ講座を行ってます。
久喜市立鷲宮図書館・郷土資料館,図書館事業・資料館事業,公共施設,○,○,○,子育て支援情報の提供,2,"【おむつ交換】1階トイレに向かう通路の側面
【おむつ交換+授乳】1階　展示コーナー(搾乳できます)","1階トイレに向かう通路の側面におむつ交換台あり
展示コーナーにおむつ交換、授乳ができる個室(ベビーケアルームmamaro)あり",340-0217,久喜市,久喜市鷲宮5-33-1,0480-58-1002,0480-58-1019,shogaigakushu@city.kuki.lg.jp,9:00～19:30,第2水・最終の金、12/29～1/3,https://www.city.kuki.lg.jp,木曜日と土曜日の10時から13時30分まで、育児コンシェルジュが子育て世帯の図書館利用をサポートします。
埼玉りそな銀行 熊谷支店,銀行,金融,○,○,○,調乳器,3,"【おむつ交換】店舗1階みんなのトイレ、店舗3階みんなのトイレ
【授乳】店舗1階授乳室",みんなのトイレ:おむつ交換台(1階、3階)、授乳室(1階),360-0042,熊谷市,熊谷市本町一丁目96番地,048-521-1511,048-525-3577,,9:00～17:00,土日祝日、年末年始(12月31日～1月3日),http://www.saitamaresona.co.jp/,　2018年7月9日(月)　新設店舗オープン
株式会社ウルハホーム,不動産業,その他,○,×,○,キッズコーナー,2,【おむつ交換】店内トイレ(1カ所),,350-0066,川越市,川越市連雀町3-1,049-299-6684,049-299-6685,info@ulhahome.com,10:00～19:00,火曜・水曜,https://www.ulhahome.com/,小さなお子様連れでも安心してご利用いただけます。
ヤオコー北本中央店,食品スーパーマーケット,買物,○,×,×,,2,【おむつ替え】女子トイレ、多目的トイレ,,364-0031,北本市,北本市中央4-45-2,048-590-2311,048-592-7350,,9:00～21:30,年中無休,http://www.yaoko-net.com/,
狭山市民総合体育館,体育館,公共施設,○,○,○,調乳用のお湯の提供,2,"【おむつ替え+授乳】1階休憩室内授乳室(搾乳できます)
【おむつ替え】1階女子トイレ",休憩室内の授乳室にはベビーベッドと二人掛けのソファー、1階女子トイレにはおむつ交換台が1台あります。,350-1335,狭山市,狭山市柏原555,04-2952-0511,04-2952-0513,chikouzan@shinko-sports.com,9:00～22:00,毎月第1・3月曜日、年末年始(12/28～1/4)　※月曜日が祝日の場合はその翌日,http://www.parks.or.jp/chikozan/,市民の皆様のレクリエーション及び体力向上の為の施設として卓球場の開放やトレーニングルームもご利用いただいております。また、各種大会なども開催しています。隣接する施設としてテニスコートもご利用いただいております。
大河原観光公衆トイレ,観光公衆トイレ,公共施設,○,×,×,,1,【おむつ交換】トイレ内,トイレ内におむつ交換台あり,357-0065,飯能市,飯能市大字大河原83-1ほか,,,,,なし,https://www.city.hanno.lg.jp/soshikikarasagasu/kankyokeizaibu/kanko_ecotourismka/1901.html,水と緑の景観に配慮し、北欧のイメージを取り入れたつくりです。また、埼玉県産の西川材を使用した木のぬくもり溢れる観光トイレとなっています。
ベルクフォルテ寄居店,総合食料品スーパーマーケット,買物,○,○,×,,1,【おむつ交換+授乳】1階トイレの前　1ヶ所,,369-1203,寄居町,寄居町寄居618-1,048-580-1700,048-580-1701,,9:00～24:00,なし,http://www.belc.jp,当社ベルクは、食料品を中心に販売するスーパーマーケット経営を通じ、Better Life Community(地域社会の人々に より充実した生活を)を経営理念に、お客様に支持され信頼される店作りを進め、スーパーマーケットとしての社会的役割を経営の理念としております。
日高市子育て総合支援センターぬくぬく,地域子育て支援拠点,その他,○,○,○,調乳用お湯,2,"【おむつ交換】こどもトイレ
【おむつ交換+授乳】プレイルーム和室","プレイルーム和室の授乳スペースはカーテンで仕切られ椅子が一脚あります。
調乳のお湯が必要な方はお声掛けください。",350-1235,日高市,日高市大字楡木201番地,042-985-8020,042-985-8030,,9:00～17:00,第1・3土曜日、祝日、年末年始(12/28～1/4),,平成30年4月1日に日高市総合福祉センター「高麗の郷」内にオープンしました
TOTOこしがやショールーム,,住宅,○,×,○,キッズルーム、ベビーキープ,2,【おむつ替え+ベビーキープ】多目的トイレ,,343-0022,越谷市,越谷市南大沢3-14-12,0120-43-1010,048-970-8166,koshigaya-sr@jp.toto.com,10:00～17:00,毎週水曜日,http://www.toto.co.jp/,"東武伊勢崎線　北越谷駅から車で10分。
キッチン、洗面、バスが体感できるショールームです。お子様連れでも安心して見学頂けます。"
TOTO熊谷ショールーム,,住宅,○,○,○,キッズルーム,2,【おむつ替え+授乳】多目的トイレ,,360-0015,熊谷市,熊谷市肥塚4-30,0120-43-1010,048-599-1785,kumagaya-sr@jp.toto.com,10:00～17:00,毎週水曜日,http://www.toto.co.jp/,"国際バス3番乗り場(葛和田行き)『北肥塚』(きたこいづか)バス停　徒歩約2分。
キッチン、洗面、バスが体感できるショールームです。お子様連れでも安心して見学頂けます。"
TOTO川越ショールーム,,住宅,○,○,○,ベビーキープ、キッズルーム,1,"【おむつ交換】多機能トイレ
【授乳】授乳室",,350-1162,川越市,川越市南大塚879-6,0120-43-1010,049-249-5131,,10:00～17:00,毎週水曜日（但し、祝日の水曜日は開館）、夏季休暇、年末年始,https://jp.toto.com/showroom/,"西武鉄道新宿線「南大塚駅」北口より徒歩5分。
キッチン、洗面、バスが体感できるショールームです。お子様連れでも安心して見学頂けます。"
TOTO大宮ショールーム,,住宅,○,○,○,キッズルーム、ベビーキープ,3,"【おむつ替え】多目的トイレ
【ベビーキープ】女子トイレ
【授乳】授乳室",,331-0812,さいたま市北区,さいたま市北区宮原町4‐24‐7,0120-43-1010,049-249-5131,omiya-sr@jp.toto.com,10:00～17:00,毎週水曜日,http://www.toto.co.jp/,"JR「宮原駅」東口より徒歩13分。
キッチン、洗面、バスが体感できるショールームです。お子様連れでも安心して見学頂けます。"
さいたま市立尾間木児童センター,児童館,教育・習い事,○,○,○,お湯の提供、ベビーキープ,1,【おむつ交換+授乳室】乳幼児室,おむつ交換台が3台あります。女子・男子トイレにそれぞれベビーキープがあります。,336-0923,さいたま市緑区,さいたま市緑区大間木472,048-711-4182,048-711-4183,omagi-j.syazi@nifty.com,9:00～18:00,国民の休日(こどもの日・敬老の日・文化の日)を除く、年末年始,http://www.saicity-j.or.jp/j-omagi.html,乳幼児とその保護者が健康を育む場所としてお子さんと一緒に遊ぶことがきます。気軽にお立ち寄りください。
(株)東武ストア　新田店,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】お客様用女子トイレ内,東武スカイツリーライン新田駅すぐの場所にあり、ご利用に便利です。,340-0052,草加市,草加市金明町字道下263-2,048-930-5860,048-936-1863,,6時～翌1時,なし,http://www.tobustore.co.jp,新田駅改札口を出てすぐにお店があります。駅ご利用のお客様には大変便利なお店です。
戸田市立西部福祉センター,公共施設,公共施設,○,×,×,,1,【おむつ交換】1階多目的トイレ,授乳についてはご相談ください。,335-0031,戸田市,戸田市美女木5-2-16,048-421-3024,048-421-3060,health-03@city.toda.saitama.jp,8:30～17:15,第2・4・5月曜日及び年末年始(12/29～1/3),https://www.city.toda.saitama.jp/,赤ちゃんのおむつ替えにご利用ください。
造幣さいたま博物館,貨幣の博物館,公共施設,○,○,×,,2,【おむつ交換】1F多目的トイレ　【授乳】1F授乳室,多目的トイレ内におむつ交換台があります。,330-0835,さいたま市大宮区,さいたま市大宮区北袋町1-190-22,048-645-5899,048-645-5913,t-pub@mint.go.jp,午前9時～午後4時30分(入館は午後4時まで),毎月第三水曜日(年末年始のほか、展示品の入替等の都合により、臨時休館する場合があります。) ※詳しくは造幣局ホームページでご確認ください。,https://www.mint.go.jp/,"造幣さいたま博物館では、博物館及び工場見学を行っております。
自由見学をご希望の方:予約の必要はありません。
ガイド付きツアーをご希望の方:事前に電話でお申し込みください。
【受付期間】造幣局ホームページでご確認ください。
【申込先】048-645-5899　【受付時間】午前9時から午後5時まで(平日のみ)"
ふじみ野市役所　第2庁舎,市役所,公共施設,○,○,○,調乳用の水栓,1,【おむつ交換+授乳】3階社会教育課横「赤ちゃんの駅」,"調乳用の水栓あり。
おむつ交換台1台、授乳用椅子1台を設置しています。",356-8501,ふじみ野市,ふじみ野市福岡1-1-2,049-261-2611,049-266-6245,kanzai@city.fujimino.saitama.jp,8:30～17:15,土・日・祝日,http://www.city.fujimino.saitama.jp/,
ヤオコー西大宮店,食品スーパーマーケット,買物,○,×,×,,2,【おむつ交換】女子トイレ・多目的トイレ,,331-0078,さいたま市西区,さいたま市西区大宮4丁目5番地1,048-621-0711,048-621-3618,,9:00～21:30,年中無休,http://www.yaoko-net.com/,
飯能市市民会館,市民会館,公共施設,○,×,×,,1,【おむつ交換】ロビー多目的トイレ横(搾乳できます),おむつ交換台が1台あります。,357-0063,飯能市,飯能市大字飯能226-2,042-972-3000,042-972-3007,shimin-k@city.hanno.lg.jp,8:30～21:30,月曜(月曜日は祝日の場合は翌火曜日),https://www.city.hanno.lg.jp/kanko_bunka_sports/hall/index.html,"各種コンサート、寄席、トークイベントなど、さまざまなジャンルの自主事業公演を開催しています。
また、大・小ホール、展示室、会議室などの貸館を行っています。"
飯能市立博物館　きっとす,博物館,公共施設,○,×,×,,1,【おむつ交換】多目的トイレ(1か所),多目的トイレ内におむつ交換台が1台あります。,357-0063,飯能市,飯能市大字飯能258-1,042-972-1414,042-972-1431,museum@city.hanno.lg.jp,9:00～17:00,月曜日・祝日の翌日(いずれもその日が休・祝日の場合を除く),https://www.city.hanno.lg.jp/kanko_bunka_sports/museum/index.html,
飯能市加治地区行政センター,市民センター兼生涯学習施設,公共施設,○,○,×,,1,【おむつ交換+授乳】加治地区行政センター2階,和室があるので、空いていればいつでも使用できます。,357-0045,飯能市,飯能市大字笠縫59-1,042-972-2313,042-972-9805,kaji-center@city.hanno.lg.jp,平日　8:30～17:15,土曜日、日曜日、祝日、年末年始,https://www.city.hanno.lg.jp/kanko_bunka_sports/chikugyoseicenter_kominkan/kajichikugyoseicenter_kominkan/index.html,
LadiesKickBoxercise　STUDIO-Syo-,女性限定フィットネススタジオ,教育・習い事,○,○,○,キッズルーム,2,"【おむつ交換】3F授乳室、3Fキッズルーム
【授乳】3F授乳室","授乳室完備。
おむつ替え可能なベビーベッドは、キッズルームと授乳室にございます。
",337-0053,さいたま市見沼区,さいたま市見沼区大和田町2-897,048-708-8747,,info@ladieskick-syo.com,10:00～13:30 16:30～19:00　※曜日によって異なります,日曜日・祝日・年末年始,http://ladieskick-syo.com/,"女性限定、託児付のフィットネススタジオですので安心してご利用ください。
夕方からは子供向けのクラスがありますのでママや子供の多いスタジオです!"
スマイルピアザ坂田　(フレスポ桶川 内),コミュニティセンター・図書館,公共施設,○,○,×,,2,"【おむつ交換】オムツ替えコーナー
【授乳】授乳室(搾乳できます)・調乳コーナー",・授乳室、調乳コーナー、オムツ替えコーナーを一体として配置し、利用しやすいつくりとしています。,363-0009,桶川市,桶川市坂田東2-3-1,,,,コミュニティセンター:9:00～22:00、図書館:9:00～17:00,コミュニティセンター:年末年始(12月29日～1月3日)、図書館:年末年始(12月29日～1月3日)、特別整理期間(年1回 一週間程度),,"■公共施設と民間施設が一体となった複合施設です。
■地域生活の拠点として多くの皆様にご利用頂いています。
公共施設:コミュニティセンター、図書館。
民間施設:スーパーマーケット、ドラッグストア、100円ショップなど。"
ヤオコー久喜菖蒲店,食品スーパーマーケット,買物,○,○,×,,3,【おむつ交換+授乳】授乳室　【おむつ交換】女子トイレ・多目的トイレ,,346-0106,久喜市,久喜市菖蒲町菖蒲7001番地,0480-85-8711,0480-85-8608,,9:00～20:00,年中無休,http://www.yaoko-net.com/,
クリナップ　越谷ショールーム,,住宅,○,×,×,,1,【おむつ替え】女子トイレ,,343-0023,越谷市,越谷市東越谷7-1,048-966-8733,048-966-8487,cl.s004424@cleanup.jp,10:00～17:00,水曜日(夏期・年末年始休日等有り),http://cleanup.jp/,クリナップのショールームはいつでも、お気軽にお越し頂けます。
クリナップ　大宮ショールーム,,住宅,○,○,×,,1,【おむつ替え+授乳】授乳室,,330-0834,さいたま市大宮区,さいたま市大宮区天沼1-434-4,048-644-3823,048-644-3893,cl.s004216@cleanup.jp,10:00～17:00,水曜日(夏期・年末年始休日等有り),http://cleanup.jp/,クリナップのショールームはいつでも、お気軽にお越し頂けます。
クリナップ　熊谷ショールーム,,住宅,○,×,×,,1,【おむつ替え】女子トイレ,,360-0018,熊谷市,熊谷市中央1-276,048-525-7577,048-525-7589,cl.s004418@cleanup.jp,10:00～17:00,水曜日(夏期・年末年始休日等有り),http://cleanup.jp/,クリナップのショールームはいつでも、お気軽にお越し頂けます。
クリナップ　川越ショールーム,,住宅,○,○,×,,1,【おむつ替え+授乳】授乳室,,350-1124,川越市,川越市新宿町3-4-9,049-245-4933,049-245-9609,cl.s004423@cleanup.jp,10:00～17:00,水曜日(夏期・年末年始休日等有り),http://cleanup.jp/,クリナップのショールームはいつでも、お気軽にお越し頂けます。
川越市霞ケ関西公民館,公民館,公共施設,○,○,×,,1,【おむつ交換+授乳】プレイルーム内授乳室(搾乳できます),プレイルーム内に親子で入れるトイレ有。(但し、便器は1つのみ。),350-1175,川越市,川越市笠幡3001-12,049-227-6551,049-227-6710,,8:30～21:30,祝日、休日,http://www.city.kawagoe.saitama.jp/,
川越市児童発達支援センター,公共施設,公共施設,○,○,×,,1,【おむつ交換+授乳】2階　授乳室(搾乳できます),個室があり、おむつ交換台、流し、授乳用ソファーを設置しています。,350-1116,川越市,川越市寿町2丁目296番地1,049-257-6900,049-245-2855,,8:30～17:00,土・日・祝日・年末年始,http://www.city.kawagoe.saitama.jp/,通園事業のほか相談支援機能や地域支援機能を充実させ、発育や発達に心配のあるお子さんや障害のあるお子さんとその家族への支援を行う施設です。
おおしま整骨院,整骨院,その他,○,○,×,,1,【おむつ替え+授乳】整骨院内ベッド（カーテンで仕切り有）,,330-0844,さいたま市大宮区,さいたま市大宮区下町2-82　プルミエール大宮1F,048-871-6505,,info@ooshima-seikotsuin.com,平日）9:30～21:00　　土日祝日）10:00～18:00,第2、第4月曜日,https://ooshima-seikotsuin.com/,
はんのう駅前通り整骨院,,その他,○,×,×,,1,【おむつ交換】トイレ,オムツ替え台設置してあります。また、区切られたスペースもございますので、授乳もご相談ください。,357-0038,飯能市,飯能市仲町1-1,042-978-6920,042-978-6920,hannoekimaedoriseikotsuin@gmail.com,9:00～20:00,なし,https://hanno-karadasenka.com,"子供や女性、産後の女性の今を大切にしております。今、ケアをすることで皆様のこれからをサポートさせて頂きます。おつらい体の症状などございましたら、先ずはご相談ください。
健康保険も症状により使える可能性があります。(健康保険は割引などは法律上出来ません)"
きしざわ整骨院,整骨院,その他,○,○,×,,1,【おむつ交換+授乳】院内施術ベッド,おむつ交換用のベッドが1床、カーテンで仕切られ授乳が可能なスペースがあります。,336-0907,さいたま市緑区,さいたま市緑区道祖土3-5-20,048-711-3448,048-711-3448,kishizawaseikotsu@gmail.com,9:00～19:30,土曜・祝日,http://kishizawaseikotsu.com,"産後で身体が辛いママが安心して通える整骨院です。
予約制で他の方とブッキングせず、キッズスペース完備。
女性の受付スタッフが常駐しているのでお子様を見守ります。"
